ID,Grade,Race,SPED,Q1_Raw_Score,Q1_%Corr,Q1_Met_Level,Q2_Raw_Score,Q2_%Corr,Q2_Met_Level,Q3_Raw_Score,Q3_%Corr,Q3_Met_Level
556716,8,H,,4,40,Not Met,19.0,40.0,Appr,17,35,Not Met
554520,8,H,,4,40,Not Met,18.0,38.0,Appr,15,31,Not Met
505135,6,B,Y,4,40,Not Met,19.0,44.0,Appr,12,30,Not Met
524920,6,B,Y,4,40,Not Met,20.0,47.0,Appr,21,53,Appr
492021,7,B,,4,40,Not Met,18.0,39.0,Not Met,9,20,Not Met
555322,7,B,,4,40,Not Met,22.0,48.0,Appr,19,41,Not Met
545275,8,B,Y,4,40,Not Met,20.0,42.0,Appr,9,19,Not Met
560279,6,H,,4,40,Not Met,17.0,40.0,Appr,19,48,Appr
498209,8,H,,4,40,Not Met,22.0,46.0,Appr,17,35,Not Met
553884,6,B,,4,40,Not Met,11.0,26.0,Not Met,12,30,Not Met
557567,6,H,,4,40,Not Met,38.0,88.0,Masters,13,33,Not Met
511378,6,H,Y,4,40,Not Met,10.0,23.0,Not Met,17,43,Appr
507044,6,H,,4,40,Not Met,14.0,33.0,Not Met,16,40,Appr
558367,6,H,,4,40,Not Met,16.0,37.0,Appr,21,53,Appr
554973,6,B,,4,40,Not Met,17.0,40.0,Appr,23,58,Meets
560512,8,B,,4,40,Not Met,12.0,25.0,Not Met,15,31,Not Met
506688,6,W,Y,3,30,Not Met,11.0,26.0,Not Met,9,23,Not Met
524074,7,W,Y,3,30,Not Met,12.0,26.0,Not Met,12,26,Not Met
556823,6,H,,3,30,Not Met,12.0,28.0,Not Met,13,33,Not Met
560237,6,H,,3,30,Not Met,11.0,26.0,Not Met,8,20,Not Met
553773,6,H,,3,30,Not Met,31.0,72.0,Meets,14,35,Appr
527506,6,H,,3,30,Not Met,10.0,23.0,Not Met,8,20,Not Met
555697,7,H,,3,30,Not Met,13.0,28.0,Not Met,14,30,Not Met
499669,7,H,Y,3,30,Not Met,30.0,65.0,Meets,18,39,Not Met
557112,7,H,,3,30,Not Met,33.0,72.0,Meets,29,63,Meets
554578,7,H,,3,30,Not Met,15.0,33.0,Not Met,10,22,Not Met
560095,7,H,,3,30,Not Met,29.0,63.0,Meets,24,52,Appr
501100,7,H,,3,30,Not Met,13.0,28.0,Not Met,18,39,Not Met
497652,7,H,,3,30,Not Met,17.0,37.0,Not Met,18,39,Not Met
500988,7,H,,3,30,Not Met,39.0,85.0,Masters,14,30,Not Met
552056,7,H,,3,30,Not Met,22.0,48.0,Appr,12,26,Not Met
547571,7,H,,3,30,Not Met,35.0,76.0,Meets,18,39,Not Met
499317,7,H,,3,30,Not Met,22.0,48.0,Appr,24,52,Appr
559501,7,H,,3,30,Not Met,14.0,30.0,Not Met,11,24,Not Met
497739,7,H,,3,30,Not Met,15.0,33.0,Not Met,11,24,Not Met
503707,7,H,,3,30,Not Met,9.0,20.0,Not Met,22,48,Appr
530450,7,H,,3,30,Not Met,22.0,48.0,Appr,21,46,Appr
497336,7,H,,3,30,Not Met,12.0,26.0,Not Met,21,46,Appr
491539,7,H,Y,3,30,Not Met,,,,13,28,Not Met
502886,7,H,Y,3,30,Not Met,17.0,37.0,Not Met,7,15,Not Met
504706,7,H,Y,3,30,Not Met,21.0,46.0,Appr,24,52,Appr
497907,8,H,,3,30,Not Met,14.0,29.0,Not Met,18,38,Appr
550440,8,H,,3,30,Not Met,9.0,19.0,Not Met,12,25,Not Met
497864,8,H,Y,3,30,Not Met,16.0,33.0,Not Met,17,35,Not Met
492654,8,H,Y,3,30,Not Met,9.0,19.0,Not Met,12,25,Not Met
559438,6,B,,3,30,Not Met,12.0,28.0,Not Met,9,23,Not Met
553946,7,B,,3,30,Not Met,11.0,24.0,Not Met,11,24,Not Met
500267,7,B,,3,30,Not Met,8.0,17.0,Not Met,12,26,Not Met
522566,7,B,,3,30,Not Met,24.0,52.0,Appr,27,59,Meets
497590,7,B,,3,30,Not Met,12.0,26.0,Not Met,11,24,Not Met
554252,7,B,Y,3,30,Not Met,11.0,24.0,Not Met,17,37,Not Met
521984,7,B,Y,3,30,Not Met,25.0,54.0,Appr,23,50,Appr
560486,8,B,,3,30,Not Met,8.0,17.0,Not Met,15,31,Not Met
554602,8,B,,3,30,Not Met,8.0,17.0,Not Met,19,40,Appr
