Grade,Race,SPED,Q2_Raw_Score,Q2_%Corr,Q2_Met_Level
8.0,B,Y,8.0,17.0,Not Met
8.0,H,,42.0,88.0,Masters
8.0,H,,35.0,73.0,Meets
8.0,H,,34.0,71.0,Meets
8.0,T,Y,29.0,60.0,Meets
8.0,H,Y,16.0,33.0,Not Met
8.0,B,Y,16.0,33.0,Not Met
8.0,B,Y,16.0,33.0,Not Met
8.0,B,Y,20.0,42.0,Appr
8.0,H,Y,14.0,29.0,Not Met
8.0,H,Y,13.0,27.0,Not Met
8.0,B,,12.0,25.0,Not Met
8.0,H,Y,9.0,19.0,Not Met
8.0,H,Y,8.0,17.0,Not Met
8.0,B,Y,28.0,58.0,Meets
8.0,H,Y,22.0,46.0,Appr
8.0,H,Y,15.0,31.0,Not Met
,B,,,,
,B,,,,
,H,Y,,,
,H,,,,
,H,Y,,,
,H,Y,,,
,H,,,,
,H,,,,
,H,Y,,,
,H,,,,
,H,,,,
,H,,,,
,W,,,,
